Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,106.940002,108.669998,106.669998,108.370003,108.370003,7725000
2009-06-02,107.510002,108.800003,106.660004,106.830002,106.830002,7045800
2009-06-03,106.529999,106.599998,105.110001,106.489998,106.489998,7688000
2009-06-04,106.169998,106.870003,105.599998,106.330002,106.330002,5468500
2009-06-05,107.330002,108.400002,106.750000,107.239998,107.239998,7665000
2009-06-08,106.639999,107.980003,105.500000,107.489998,107.489998,6363800
2009-06-09,108.150002,109.139999,107.989998,108.139999,108.139999,8585900
2009-06-10,109.199997,109.279999,107.050003,108.349998,108.349998,7578100
2009-06-11,108.750000,110.639999,108.559998,109.400002,109.400002,9134300
2009-06-12,108.400002,109.279999,107.750000,108.209999,108.209999,7250900
2009-06-15,107.629997,108.830002,107.239998,107.620003,107.620003,8567600
2009-06-16,108.470001,109.139999,107.269997,107.320000,107.320000,7231000
2009-06-17,107.459999,107.879997,106.879997,107.000000,107.000000,7366200
2009-06-18,106.930000,107.529999,106.120003,106.330002,106.330002,6206900
2009-06-19,106.309998,106.650002,105.500000,105.889999,105.889999,13559000
2009-06-22,105.180000,105.879997,104.230003,104.519997,104.519997,7295400
2009-06-23,104.750000,104.870003,103.790001,104.440002,104.440002,5152600
2009-06-24,105.389999,106.480003,103.720001,104.150002,104.150002,6395200
2009-06-25,103.699997,106.790001,103.510002,106.059998,106.059998,6900600
2009-06-26,106.500000,106.500000,105.050003,105.680000,105.680000,5127900
2009-06-29,105.989998,106.180000,105.160004,105.830002,105.830002,4681800
2009-06-30,105.690002,106.029999,103.809998,104.419998,104.419998,7512600
2009-07-01,105.000000,106.269997,104.730003,104.839996,104.839996,5537300
2009-07-02,103.800003,103.910004,101.730003,101.730003,101.730003,7026700
2009-07-06,101.570000,102.230003,100.470001,101.650002,101.650002,6522500
2009-07-07,101.339996,101.959999,100.029999,100.190002,100.190002,6685600
2009-07-08,100.290001,101.169998,99.500000,100.680000,100.680000,7380800
