Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,93.669998,95.169998,93.430000,94.769997,94.769997,276246800
2009-06-02,94.400002,95.370003,94.230003,94.849998,94.849998,230874500
2009-06-03,94.040001,94.129997,92.760002,93.650002,93.650002,235310500
2009-06-04,94.000000,94.669998,93.300003,94.529999,94.529999,210102300
2009-06-05,95.489998,95.669998,93.800003,94.550003,94.550003,284257900
2009-06-08,93.839996,95.099998,93.040001,94.160004,94.160004,238565100
2009-06-09,94.690002,95.139999,94.019997,94.639999,94.639999,225125500
2009-06-10,95.480003,95.489998,93.190002,94.400002,94.400002,296100400
2009-06-11,94.580002,96.110001,94.559998,94.820000,94.820000,275414200
2009-06-12,94.400002,95.139999,94.000000,95.080002,95.080002,184361800
2009-06-15,93.959999,94.019997,92.400002,92.900002,92.900002,224190500
2009-06-16,93.230003,93.290001,91.580002,91.639999,91.639999,227319000
2009-06-17,91.599998,92.330002,90.830002,91.550003,91.550003,223445200
2009-06-18,91.690002,92.669998,91.250000,92.220001,92.220001,211725100
2009-06-19,92.580002,92.699997,91.519997,92.040001,92.040001,215655600
2009-06-22,91.139999,91.190002,89.250000,89.279999,89.279999,251913600
2009-06-23,89.470001,89.879997,88.849998,89.349998,89.349998,188309800
2009-06-24,90.160004,91.080002,89.599998,90.120003,90.120003,211577700
2009-06-25,89.669998,92.169998,89.570000,92.080002,92.080002,279411000
2009-06-26,91.769997,92.239998,91.269997,91.839996,91.839996,167579000
2009-06-29,92.110001,92.820000,91.599998,92.699997,92.699997,168481300
2009-06-30,92.720001,93.059998,91.269997,91.949997,91.949997,228888200
2009-07-01,92.339996,93.230003,92.209999,92.330002,92.330002,173041100
2009-07-02,91.129997,92.360001,89.760002,89.809998,89.809998,212309900
2009-07-06,88.940002,89.930000,88.660004,89.800003,89.800003,174499600
2009-07-07,89.709999,89.820000,88.000000,88.059998,88.059998,197088900
2009-07-08,88.589996,88.800003,87.000000,88.000000,88.000000,248050500
2009-07-09,88.610001,88.900002,87.910004,88.169998,88.169998,163777600
2009-07-10,87.699997,88.489998,87.349998,87.959999,87.959999,173520300
2009-07-13,88.309998,90.169998,87.589996,90.099998,90.099998,217413500
2009-07-14,90.379997,90.690002,89.730003,90.610001,90.610001,181487400
2009-07-15,91.809998,93.510002,90.680000,93.260002,93.260002,220877900
2009-07-16,93.000000,94.510002,92.820000,93.110001,93.110001,231174500
2009-07-17,94.059998,94.320000,93.540001,94.129997,94.129997,138561700
2009-07-20,94.680000,95.290001,94.190002,95.129997,95.129997,164179400
2009-07-21,95.870003,95.900002,94.419998,95.570000,95.570000,217718300
2009-07-22,94.959999,96.129997,94.889999,95.550003,95.550003,196068100
2009-07-23,95.610001,98.080002,95.529999,97.660004,97.660004,258795500
2009-07-24,97.199997,98.139999,96.690002,98.059998,98.059998,154003100
2009-07-27,97.879997,98.400002,97.339996,98.349998,98.349998,159259400
2009-07-28,97.660004,98.370003,97.059998,97.889999,97.889999,186685200
2009-07-29,97.440002,98.089996,96.980003,97.650002,97.650002,194399300
2009-07-30,98.830002,99.830002,98.599998,98.669998,98.669998,225575400
2009-07-31,98.650002,99.470001,98.379997,98.809998,98.809998,207358000
2009-08-03,99.849998,100.529999,99.309998,100.440002,100.440002,175776900
2009-08-04,99.989998,100.839996,99.779999,100.699997,100.699997,176714600
2009-08-05,100.769997,100.860001,99.580002,100.410004,100.410004,184726400
2009-08-06,100.870003,101.019997,99.419998,99.889999,99.889999,193203800
2009-08-07,100.940002,102.029999,100.389999,101.199997,101.199997,220640900
2009-08-10,100.739998,101.220001,100.269997,100.989998,100.989998,130898700
2009-08-11,100.540001,100.610001,99.459999,99.730003,99.730003,157301000
2009-08-12,99.559998,101.559998,99.510002,100.800003,100.800003,219052400
2009-08-13,101.260002,101.610001,100.260002,101.570000,101.570000,176449500
2009-08-14,101.519997,101.599998,99.699997,100.790001,100.790001,199616100
2009-08-17,98.849998,98.949997,98.110001,98.309998,98.309998,237667500
2009-08-18,98.529999,99.440002,98.349998,99.089996,99.089996,173461500
2009-08-19,98.309998,100.300003,98.209999,99.959999,99.959999,192812800
2009-08-20,100.089996,101.220001,99.870003,100.989998,100.989998,174131300
2009-08-21,101.820000,103.129997,101.620003,102.970001,102.970001,224605000
2009-08-24,103.389999,103.949997,102.589996,102.959999,102.959999,191279000
2009-08-25,103.370003,104.260002,102.940002,103.160004,103.160004,215310600
2009-08-26,102.839996,103.639999,102.489998,103.169998,103.169998,194620700
2009-08-27,103.110001,103.720001,101.940002,103.400002,103.400002,196230100
2009-08-28,104.230003,104.349998,102.669998,103.379997,103.379997,147024400
2009-08-31,102.370003,102.580002,101.790001,102.459999,102.459999,176051600
2009-09-01,101.949997,103.239998,99.989998,100.199997,100.199997,321276800
2009-09-02,99.779999,100.440002,99.570000,99.820000,99.820000,171805000
2009-09-03,100.400002,100.769997,99.589996,100.650002,100.650002,143572300
2009-09-04,100.849998,102.089996,100.550003,102.059998,102.059998,142687900
2009-09-08,103.000000,103.050003,102.389999,102.940002,102.940002,132909100
2009-09-09,103.120003,104.080002,102.800003,103.730003,103.730003,154612500
2009-09-10,103.800003,104.860001,103.220001,104.790001,104.790001,162902400
2009-09-11,104.989998,105.300003,104.279999,104.769997,104.769997,152360100
2009-09-14,103.879997,105.459999,103.150002,105.279999,105.279999,149593800
2009-09-15,105.449997,106.110001,104.760002,105.720001,105.720001,196795900
2009-09-16,106.099998,107.339996,105.730003,107.320000,107.320000,206406300
2009-09-17,107.169998,108.059998,106.570000,107.160004,107.160004,229170900
2009-09-18,107.150002,107.160004,106.360001,106.720001,106.720001,153799100
2009-09-21,105.889999,107.000000,105.660004,106.449997,106.449997,151892000
2009-09-22,107.080002,107.370003,106.599998,107.070000,107.070000,143126700
2009-09-23,107.320000,108.029999,105.989998,106.180000,106.180000,225947400
2009-09-24,106.410004,106.639999,104.550003,105.010002,105.010002,228636800
2009-09-25,104.779999,105.360001,104.089996,104.449997,104.449997,204059000
2009-09-28,104.849998,106.550003,104.830002,106.320000,106.320000,118285800
2009-09-29,106.510002,107.019997,105.779999,106.000000,106.000000,133733900
